Timestamp,Wogegen sind Sie geimpft?,"Falls Sie nicht geimpft sind, weshalb nicht?",Sind Sie z.B. aufgrund von Immunsuppressiva auf eine hohe Immunität innerhalb der Bevölkerung angewiesen?,"Ich würde mich gegen Krankheiten mit hohem Infektionsrisiko, jedoch leichten Symptomen impfen lassen.","Ich würde mich gegen Krankheiten mit niedrigem Infektionsrisiko, jedoch schweren Symptomen impfen lassen.",Vor einer Impfung achte ich auf ihre Wirksamkeit.,Vor einer Impfung achte ich auf Empfehlungen meiner Ärztin bzw. meines Arztes.,Vor einer Impfung achte ich auf Empfehlungen des Gesundheitsamtes oder der Impfkommission.,"Für mich ist eine Impfung wirksam, wenn sie mein Infektionsrisiko senkt.","Für mich ist eine Impfung wirksam, wenn sie die Weitergabe des Krankheitserregers verhindert.","Für mich ist eine Impfung wirksam, wenn sie im Falle einer Infektion meine Symptome mildert.",Kurzzeitige leichte Nebenwirkungen wie Müdigkeit oder Schwindel würde ich in Kauf nehmen.,Kurzzeitige schwere Nebenwirkungen wie hohes Fieber würde ich in Kauf nehmen.,Länger andauernde Nebenwirkungen wie Müdigkeit würde ich in Kauf nehmen.,Wie viele Covid-19-Impfdosen haben Sie bereits erhalten?,"Wenn ja, wann haben Sie sich impfen lassen?","Wenn ja, aus welchem Grund haben Sie sich impfen lassen?","Sind generelle Hygienemaßnahmen (Sicherheitsabstände, Hände waschen, Lüften, persönliche Schutzmaßnahmen) Ihrer Ansicht nach bereits ausreichend wirksam?","Sind Covid-19-Maßnahmen der Regierung (Einschränkungen für Gastronomie, Veranstaltungen, Home Office) Ihrer Ansicht nach wirksam?",In welchen Bereichen vertrauen Sie der Covid-19-Impfung?,In welchen Bereichen vertrauen Sie der Covid-19-Impfung nicht?,Geschlecht,Alter,Was ist Ihre höchste abgeschlossene Schulbildung?,Welchen Beruf üben Sie aus?,Sind Sie im Gesundheitsbereich tätig?,"Wenn ja, welchen Beruf üben Sie genau aus?"
14/04/2022 21:44:25,"Tetanus, FSME/Zeckenschutzimpfung, Covid-19, Ich weiß es nicht/Ich bin mir nicht sicher",Ich bin Impfungen gegenüber generell vorsichtig eingestellt,Nein,2,4,4,4,4,5,4,4,3,2,1,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Aufgrund der 2G/3G-Pflicht in Gastronomie und Handel, Um einfacher reisen zu können",4,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,56,Hochschule/Universität,Angestellte/r,Nein,
14/04/2022 21:46:36,"Covid-19, Ich weiß es nicht/Ich bin mir nicht sicher",,Nein,4,5,4,5,3,5,5,5,4,4,1,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",3,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,51,Lehre,Derzeit nicht erwerbstätig,Nein,
14/04/2022 21:47:08,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,2,4,3,4,2,5,2,4,5,5,1,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,3,4,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,40,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,
14/04/2022 21:48:42,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,4,4,5,4,5,5,5,5,5,2,1,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",5,5,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,49,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,Einkäuferin 
14/04/2022 21:51:48,Tetanus,Ich bin Impfungen gegenüber generell vorsichtig eingestellt,Nein,1,3,5,4,1,2,4,2,4,2,1,2,Mit der Einführung von 3G am Arbeitsplatz,Um einfacher reisen zu können,4,2,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",männlich,63,Hochschule/Universität,Leitende/r Angestellte/r,Nein,Interessensvertretung
14/04/2022 21:52:53,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,5,5,4,3,4,4,4,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,57,Hochschule/Universität,Selbstständig,Nein,
14/04/2022 21:54:33,"Masern-Mumps-Röteln, Polio, Tetanus, Grippe, Covid-19",,Nein,5,5,4,3,2,5,5,5,5,5,5,mehr als 3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,5,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,50,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,Juristin
14/04/2022 21:54:49,"Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,2,5,3,5,5,2,1,4,4,4,4,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,3,4,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,40,Hochschule/Universität,Angestellte/r,Nein,
14/04/2022 21:55:08,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,2,4,5,5,3,5,4,4,5,5,3,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Aufgrund der 3G-Pflicht am Arbeitsplatz, Um einfacher reisen zu können",5,2,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,53,Hochschule/Universität,Selbstständig,Nein,
14/04/2022 21:57:50,"Masern-Mumps-Röteln, Polio, Tetanus, Covid-19",,Ja,5,5,5,5,4,5,5,5,4,4,3,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,3,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung",Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität),männlich,66,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,UNternehmensberater
14/04/2022 21:58:48,"Masern-Mumps-Röteln, Polio, Hepatitis, Covid-19, Ich weiß es nicht/Ich bin mir nicht sicher",,Nein,4,5,3,4,3,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,45,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,Dirigent
14/04/2022 21:59:05,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Ja,5,5,4,3,4,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,26,Hochschule/Universität,Angestellte/r,Ja,Reinigungskraft
14/04/2022 22:00:44,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,4,5,5,4,4,4,4,4,5,4,4,3,Zum ehestmöglichem Zeitpunkt,Aufgrund der 2G/3G-Pflicht in Gastronomie und Handel,2,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung",Verhinderung einer Ansteckung,weiblich,52,Hochschule/Universität,Selbstständig,Nein,
14/04/2022 22:03:56,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, Grippe, Covid-19",,Nein,5,5,3,5,5,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,4,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,45,Hochschule/Universität,Derzeit nicht erwerbstätig,Ja,"Krakenschwester, Gerontologin"
14/04/2022 22:05:57,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,2,5,5,5,5,2,3,4,5,5,4,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,2,4,Keine der genannten,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,56,Matura (AHS/BHS/Abendmatura),Angestellte/r,Ja,Dipl. Med.techn. Fachkraft in der Radiologie 
14/04/2022 22:07:03,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,2,4,5,5,5,5,5,4,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,2,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,47,Berufsbildende Mittlere Schule (Fach-/Handelsschule),Angestellte/r,Nein,
14/04/2022 22:08:54,"Masern-Mumps-Röteln, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,4,4,4,4,4,3,5,5,3,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,4,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,männlich,43,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,
14/04/2022 22:12:03,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Covid-19",Ich bin Impfungen gegenüber generell vorsichtig eingestellt,Nein,2,4,5,5,2,5,4,4,3,3,2,2,Mit der Einführung von 3G am Arbeitsplatz,,4,4,Keine der genannten,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,45,Hochschule/Universität,Angestellte/r,Nein,
14/04/2022 22:16:38,"Masern-Mumps-Röteln, Polio, Tetanus, Grippe, Covid-19",,Nein,5,5,5,4,4,5,5,5,5,5,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,1,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,58,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,
14/04/2022 22:25:39,Ich weiß es nicht/Ich bin mir nicht sicher,Ich bin Impfungen gegenüber generell vorsichtig eingestellt,Nein,1,1,5,4,1,5,1,3,1,1,1,keine,,,5,3,Keine der genannten,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",männlich,49,Hochschule/Universität,Selbstständig,Nein,
14/04/2022 22:25:57,"Masern-Mumps-Röteln, Tetanus, Covid-19",,Nein,5,5,4,5,5,5,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,2,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,24,Hochschule/Universität,Angestellte/r,Nein,
14/04/2022 22:46:43,"Masern-Mumps-Röteln, Polio, Tetanus, Covid-19",,Nein,1,3,5,3,3,5,5,5,5,5,2,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren",Zu meinem eigenem Schutz,5,2,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,59,Hochschule/Universität,Selbstständig,Nein,
14/04/2022 22:52:35,"Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,5,5,3,4,4,3,3,4,3,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",2,3,Symptome im Falle einer Ansteckung,Keine der genannten,männlich,57,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,
14/04/2022 22:56:34,"Polio, Tetanus, FSME/Zeckenschutzimpfung, Covid-19",,Ja,5,5,4,5,5,5,5,5,5,5,4,mehr als 3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,4,Symptome im Falle einer Ansteckung,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,50,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,irgenwas mit IT
14/04/2022 22:57:11,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,3,4,4,5,5,4,4,4,5,4,4,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,39,Hochschule/Universität,Angestellte/r,Nein,"Jurist, Beschwerdemanagement, Versicherung "
14/04/2022 22:57:37,"Masern-Mumps-Röteln, Polio, Covid-19",Ich bin Impfungen gegenüber generell vorsichtig eingestellt,Nein,2,4,5,4,3,5,5,5,5,4,5,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,58,Hochschule/Universität,Angestellte/r,Ja,Sekretärin
14/04/2022 23:12:30,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung",Aus gesundheitsbedingten Gründen,Nein,1,1,5,5,1,1,1,1,2,1,1,keine,,,1,1,Keine der genannten,Keine der genannten,männlich,57,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,
